Time,Ground Truth,Estimation
2020-04-25 10:53:50,66,93
2020-04-25 10:54:00,65,72
2020-04-25 10:54:10,65,72
2020-04-25 10:54:20,60,64
2020-04-25 10:54:30,65,91
2020-04-25 10:54:40,59,91
2020-04-25 10:54:50,58,107
2020-04-25 10:55:00,51,91
2020-04-25 10:55:10,62,117
2020-04-25 10:55:20,70,139
2020-04-25 10:55:30,79,144
2020-04-25 10:55:40,79,133
2020-04-25 10:55:50,66,93
2020-04-25 10:56:00,59,99
2020-04-25 10:56:10,59,88
2020-04-25 10:56:20,70,115
2020-04-25 10:56:30,77,115
2020-04-25 10:56:40,83,117
2020-04-25 10:56:50,79,117
2020-04-25 10:57:00,68,69
2020-04-25 10:57:10,58,88
2020-04-25 10:57:20,55,48
2020-04-25 10:57:30,60,100
2020-04-25 10:57:40,62,85
2020-04-25 10:57:50,62,117
2020-04-25 10:58:00,63,75
2020-04-25 10:58:10,66,80
2020-04-25 10:58:20,65,91
2020-04-25 10:58:30,62,67
2020-04-25 10:58:40,68,117
2020-04-25 10:58:50,74,109
2020-04-25 10:59:00,73,109
2020-04-25 10:59:10,71,93
2020-04-25 10:59:20,69,120
2020-04-25 10:59:30,61,91
2020-04-25 10:59:40,60,85
2020-04-25 10:59:50,62,51
2020-04-25 11:00:00,64,93
2020-04-25 11:00:10,65,61
2020-04-25 11:00:20,65,77
2020-04-25 11:00:30,67,96
2020-04-25 11:00:40,68,97
2020-04-25 11:00:50,62,85
2020-04-25 11:01:00,63,75
2020-04-25 11:01:10,64,69
2020-04-25 11:01:20,63,61
2020-04-25 11:01:30,61,60
2020-04-25 11:01:40,60,69
2020-04-25 11:01:50,67,91
2020-04-25 11:02:00,67,77
2020-04-25 11:02:10,66,67
2020-04-25 11:02:20,60,53
2020-04-25 11:02:30,66,93
2020-04-25 11:02:40,69,104
2020-04-25 11:02:50,67,83
2020-04-25 11:03:00,65,117
2020-04-25 11:03:10,59,107
2020-04-25 11:03:20,61,120
2020-04-25 11:03:30,68,88
2020-04-25 11:03:40,65,117
2020-04-25 11:03:50,70,152
2020-04-25 11:04:00,65,96
2020-04-25 11:04:10,70,69
2020-04-25 11:04:20,68,96
2020-04-25 11:04:30,65,92
2020-04-25 11:04:40,74,123
2020-04-25 11:04:50,65,115
2020-04-25 11:05:00,68,115
2020-04-25 11:05:10,58,77
2020-04-25 11:05:20,69,107
2020-04-25 11:05:30,69,117
2020-04-25 11:05:40,69,83
2020-04-25 11:05:50,62,115
2020-04-25 11:06:00,60,71
2020-04-25 11:06:10,54,53
2020-04-25 11:06:20,61,85
